year,matchid,day,date,time,atime,attendance,venue,winner,won_by,extra_time
2014,2014-19-08,Sun,03/08/2014,4:40 PM,,32807,M.C.G.,COL,6,0
2014,2014-20-00,Fri,08/08/2014,7:50 PM,,58032,M.C.G.,RIC,18,0
2014,2014-20-01,Sat,09/08/2014,1:45 PM,,10211,Manuka Oval,NM,75,0
2014,2014-20-02,Sat,09/08/2014,2:10 PM,,28840,Docklands,CAR,39,0
2014,2014-20-03,Sat,09/08/2014,4:40 PM,,37088,M.C.G.,HAW,50,0
2014,2014-20-04,Sat,09/08/2014,7:10 PM,7:40 PM,50087,ADE Oval,SYD,26,0
2014,2014-20-05,Sat,09/08/2014,7:40 PM,,26885,Kardinia Park,GEE,2,0
2014,2014-20-06,Sun,10/08/2014,1:10 PM,,19657,Gabba,ADE,105,0
2014,2014-20-07,Sun,10/08/2014,3:20 PM,,30095,Docklands,WBD,23,0
2014,2014-20-08,Sun,10/08/2014,2:40 PM,4:40 PM,36458,Subiaco,WCE,60,0
2014,2014-21-00,Fri,15/08/2014,7:50 PM,,38812,Docklands,GEE,6,0
2014,2014-21-01,Sat,16/08/2014,1:45 PM,,31361,S.C.G.,SYD,71,0
2014,2014-21-02,Sat,16/08/2014,2:10 PM,,10042,Carrara,POR,9,0
2014,2014-21-03,Sat,16/08/2014,4:40 PM,,35905,Docklands,ESS,3,0
2014,2014-21-04,Sat,16/08/2014,7:10 PM,7:40 PM,50459,ADE Oval,RIC,10,0
2014,2014-21-05,Sat,16/08/2014,7:40 PM,,32929,M.C.G.,BRI,67,0
2014,2014-21-06,Sun,17/08/2014,1:10 PM,,27164,Docklands,NM,50,0
2014,2014-21-07,Sun,17/08/2014,3:20 PM,,17227,M.C.G.,GWS,64,0
2014,2014-21-08,Sun,17/08/2014,2:40 PM,4:40 PM,38506,Subiaco,FRE,19,0
2014,2014-22-00,Fri,22/08/2014,7:20 PM,7:50 PM,52505,ADE Oval,POR,103,0
2014,2014-22-01,Sat,23/08/2014,1:45 PM,,10702,Bellerive Oval,NM,7,0
2014,2014-22-02,Sat,23/08/2014,2:10 PM,,33281,Docklands,ESS,19,0
2014,2014-22-03,Sat,23/08/2014,4:40 PM,,10851,SYD Showground,COL,8,0
2014,2014-22-04,Sat,23/08/2014,5:40 PM,7:40 PM,35083,Subiaco,WCE,66,0
2014,2014-22-05,Sat,23/08/2014,7:40 PM,,72216,M.C.G.,HAW,23,0
2014,2014-22-06,Sun,24/08/2014,1:10 PM,,17473,Gabba,FRE,58,0
2014,2014-22-07,Sun,24/08/2014,3:20 PM,,22430,Docklands,SYD,63,0
2014,2014-22-08,Sun,24/08/2014,4:40 PM,,47200,M.C.G.,RIC,26,0
2014,2014-23-00,Fri,29/08/2014,7:50 PM,,48980,M.C.G.,HAW,65,0
2014,2014-23-01,Sat,30/08/2014,1:45 PM,,56663,M.C.G.,NA,0,0
2014,2014-23-02,Sat,30/08/2014,1:10 PM,3:10 PM,38209,Subiaco,FRE,8,0
