matchid,team,score_progression,score
1990-22-01,Fitzroy,7.6  9.10 16.13 18.17,125  
1990-22-01,Carlton,2.3  8.10 11.14 16.17,113  
1990-22-02,North Melbourne,4.3  5.10  6.15  8.19,67  
1990-22-02,Collingwood,6.4   9.8 16.14 23.18,156  
1990-22-03,St Kilda,4.1   7.6 10.11 13.15,93  
1990-22-03,Essendon,3.6   6.7 12.12 19.14,128  
1990-22-04,Geelong,3.5   7.6 11.10 12.11,83  
1990-22-04,West Coast,3.1   5.3   9.4  14.6,90  
1990-22-05,Melbourne,4.5  8.11 15.13 17.14,116  
1990-22-05,Hawthorn,2.5   4.9  9.10 15.14,104  
1990-22-06,Sydney,2.7   4.9  9.15 15.19,109  
1990-22-06,Richmond,8.4 13.10 18.16 20.19,139  
1990-23-QualifyingFinal,Collingwood,3.6  7.11 10.12 13.12,90   
1990-23-QualifyingFinal,West Coast,3.1   6.5 10.10 13.12,90   
1990-24-EliminationFinal,Melbourne,1.2   3.6  9.10 10.13,73   
1990-24-EliminationFinal,Hawthorn,2.6   4.7  5.10  8.16,64   
1990-25-QualifyingFinal,Collingwood,8.1  12.6  14.9 19.12,126  
1990-25-QualifyingFinal,West Coast,2.1   4.5   9.9  9.13,67   
1990-26-SemiFinal,West Coast,4.2  10.5 16.10 19.16,130  
1990-26-SemiFinal,Melbourne,2.1   2.8   8.9 15.10,100  
1990-27-SemiFinal,Collingwood,4.5   7.7  12.8 17.15,117  
1990-27-SemiFinal,Essendon,2.3   5.7  7.10  7.12,54   
1990-28-PreliminaryFinal,Essendon,4.1  11.3 13.10 18.13,121  
1990-28-PreliminaryFinal,West Coast,1.2   5.3   6.8  8.10,58   
1990-29-GrandFinal,Collingwood,2.5   8.9 11.10 13.11,89   
1990-29-GrandFinal,Essendon,2.2   3.5   5.6  5.11,41   
1991-01-00,Adelaide,6.2  11.6 17.10 24.11,155  
1991-01-00,Hawthorn,2.0   3.3   6.8  9.15,69  
1991-01-01,St Kilda,2.4   7.5  10.8 16.11,107  
1991-01-01,Richmond,2.2   6.3   9.8 12.10,82  
1991-01-02,Footscray,7.3   9.6  11.8 11.10,76  
1991-01-02,Collingwood,2.3  4.11 11.15 21.20,146  
1991-01-03,West Coast,3.2   3.4  10.6 14.15,99  
1991-01-03,Melbourne,0.0   0.1   1.5   2.8,20  
1991-02-00,Collingwood,1.4   3.6   5.8  8.10,58  
1991-02-00,West Coast,0.1   5.2  11.4  13.7,85  
1991-02-01,Fitzroy,1.4   3.7  4.11  6.13,49  
1991-02-01,Melbourne,6.5 15.10 21.17 27.18,180  
1991-02-02,Brisbane Bears,2.2   4.4   6.7  8.10,58  
1991-02-02,North Melbourne,5.4   7.7 12.11 15.14,104  
1991-02-03,Adelaide,3.2   5.3   9.6  12.9,81  
1991-02-03,Carlton,3.4   5.9 11.10 15.14,104  
1991-02-04,Richmond,6.2   9.4  15.6  17.7,109  
1991-02-04,Essendon,1.5   6.7 10.13 16.17,113  
1991-02-05,Geelong,3.5  7.10 13.18 18.22,130  
1991-02-05,St Kilda,7.0  11.4  14.5  16.8,104  
1991-02-06,Hawthorn,10.3  13.7 17.10 25.16,166  
1991-02-06,Sydney,2.2   7.6   9.8 10.15,75  
1991-03-00,Carlton,3.6  6.12 11.14 18.19,127  
1991-03-00,Brisbane Bears,2.3   5.9  8.13  9.16,70  
1991-03-01,Collingwood,7.2  11.3 13.12 16.21,117  
1991-03-01,Fitzroy,2.2   4.7   6.9  8.10,58  
1991-03-02,North Melbourne,6.5   8.6 10.10 13.16,94  
1991-03-02,Essendon,5.4 12.11 18.17 25.17,167  
1991-03-03,Hawthorn,6.7 10.10 16.14 20.16,136  
1991-03-03,Richmond,4.1   7.5   8.7 11.13,79  
1991-03-04,Sydney,2.5   8.8 11.14 15.18,108  
1991-03-04,Adelaide,3.3   6.7 13.10 19.18,132  
1991-03-05,Footscray,2.2   6.7   9.7  10.8,68  
1991-03-05,Geelong,9.3  10.9 12.19 15.27,117  
1991-03-06,Melbourne,7.6  9.10 16.15 21.19,145  
1991-03-06,St Kilda,6.2  15.6  21.8 24.10,154  
1991-04-00,West Coast,3.5   6.9 14.15 18.19,127  
1991-04-00,North Melbourne,2.1   4.3   6.4   8.7,55  
1991-04-01,Essendon,5.4   8.9  9.15 12.20,92  
1991-04-01,Adelaide,2.1   4.7   6.9  6.11,47  
1991-04-02,Melbourne,1.2   9.7 12.10 23.17,155  
1991-04-02,Carlton,6.6  10.6  15.6  17.8,110  
1991-04-03,St Kilda,3.6  5.12 10.14 13.16,94  
1991-04-03,Collingwood,2.4   5.7  11.9 13.16,94  
1991-04-04,Fitzroy,4.4  9.10 10.14 12.18,90  
1991-04-04,Footscray,4.4   7.9  9.13 15.16,106  
1991-04-05,Richmond,5.8  9.10 14.12 19.13,127  
1991-04-05,Sydney,9.4  13.8 16.14 24.20,164  
1991-04-06,Brisbane Bears,2.1   8.8 10.11 12.16,88  
1991-04-06,Geelong,4.9 11.16 21.21 27.28,190  
1991-05-00,Sydney,6.4  8.11 17.12 19.16,130  
1991-05-00,Essendon,4.6  10.9 13.15 24.17,161  
1991-05-01,Collingwood,2.6  6.11 11.17 16.19,115  
1991-05-01,Brisbane Bears,5.2  10.5  13.9  14.9,93  
1991-05-02,Fitzroy,4.9  5.11 10.14 12.17,89  
1991-05-02,Richmond,3.3   9.9 11.13 16.17,113  
1991-05-03,Footscray,6.2  11.4  13.8 17.16,118  
1991-05-03,Hawthorn,2.2   8.2  13.8 16.11,107  
1991-05-04,Melbourne,9.1  15.7 20.12 28.14,182  
1991-05-04,North Melbourne,9.1  12.6  13.7 17.10,112  
1991-05-05,Geelong,5.3   6.8  7.12 13.17,95  
1991-05-05,Carlton,2.2   3.7   8.9  8.10,58  
1991-05-06,West Coast,5.4   9.7 15.10 19.16,130  
1991-05-06,Adelaide,0.3   2.8   5.9  9.11,65  
1991-06-00,Collingwood,2.7  7.11  8.15 10.17,77  
1991-06-00,Melbourne,1.2   8.3  13.6 17.11,113  
1991-06-01,North Melbourne,5.7 13.12 19.18 27.26,188  
1991-06-01,Sydney,9.3  19.6  21.8  21.8,134  
1991-06-02,Carlton,3.2   8.5  11.9 13.16,94  
1991-06-02,St Kilda,3.5  3.10  4.15  7.18,60  
1991-06-03,Geelong,3.4   5.4 10.10 13.11,89  
1991-06-03,West Coast,3.4 10.10 12.13 19.20,134  
1991-06-04,Brisbane Bears,5.1  10.3  11.7 12.11,83  
1991-06-04,Essendon,2.9  8.11 12.15 16.18,114  
1991-06-05,Fitzroy,2.2   3.6   7.7  11.8,74  
1991-06-05,Hawthorn,7.4  17.4 25.11 36.15,231  
1991-06-06,Adelaide,3.1   8.7  13.9 19.14,128  
1991-06-06,Footscray,4.4   7.6 11.10 14.13,97  
1991-07-00,North Melbourne,5.4  11.8 16.11 21.15,141  
1991-07-00,Fitzroy,4.3   7.4  11.6 14.13,97  
1991-07-01,St Kilda,7.3  14.7 18.14 24.18,162  
1991-07-01,Adelaide,0.1   1.7   2.7   4.7,31  
1991-07-02,Melbourne,2.7   8.8 12.13 18.18,126  
1991-07-02,Brisbane Bears,2.4  10.7  14.9 17.11,113  
1991-07-03,Essendon,2.2   9.5  14.7 17.13,115  
1991-07-03,Carlton,1.2   4.4  8.12 13.16,94  
1991-07-04,Hawthorn,3.3   5.6   7.9  8.14,62  
1991-07-04,West Coast,3.7  10.9 16.14 21.18,144  
1991-07-05,Footscray,6.7   7.8 15.11 20.13,133  
1991-07-05,Richmond,2.4   6.8  9.11 14.17,101  
1991-07-06,Sydney,7.7 11.13 13.18 20.24,144  
1991-07-06,Geelong,2.2   6.6 10.13 14.14,98  
1991-08-00,Hawthorn,2.3   7.9 10.10 18.14,122  
1991-08-00,Carlton,0.4   3.5  8.10 11.12,78  
1991-08-01,Essendon,0.3   6.6  10.7  13.9,87  
1991-08-01,West Coast,5.1   8.4  11.7 14.10,94  
1991-08-02,Fitzroy,1.3   3.4   6.9 10.10,70  
1991-08-02,Sydney,6.4 15.11 18.14 21.21,147  
1991-08-03,Melbourne,5.5   7.7 12.14 17.19,121  
1991-08-03,Footscray,2.3   6.6   8.9 12.10,82  
1991-08-04,Geelong,5.4 12.10 17.14 17.17,119  
1991-08-04,North Melbourne,4.5  9.11 14.13 22.18,150  
1991-08-05,Brisbane Bears,3.3   5.4  10.4  12.7,79  
1991-08-05,St Kilda,4.5 12.11 15.17 21.22,148  
1991-08-06,Richmond,4.3  12.8 18.13 24.15,159  
1991-08-06,Collingwood,7.1  11.6  14.8 15.12,102  
1991-09-00,North Melbourne,4.3   8.4  12.7 18.12,120  
1991-09-00,Adelaide,6.2  10.5  15.9 18.10,118  
1991-09-01,Footscray,4.2   9.3  12.9 15.11,101  
1991-09-01,Brisbane Bears,4.4   6.9 10.10 14.12,96  
1991-09-02,Carlton,4.5   7.9  9.11 13.15,93  
1991-09-02,Richmond,0.1   4.4   8.9  12.9,81  
